scholarship_program_name,promoter,funds,funds_in_rupiah,gpa,religion,major_study,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,low_income,background,total_awardee,essay,smp,sma,sarjana,fresh_graduate,education_level
Joseph C. Lowe Memorial Scholarship,Lowe Family,2500,32500000,0,Publik,History,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering/Community Service,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Coleman for Patriots Scholarship,Nolan Coleman,500,6500000,3.0,Publik,Any,TRUE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Valiyah Young Scholarship,Valiyah Young,500,6500000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Evan James Vaillancourt Memorial Scholarship,Vaillancourt,1200,15600000,3.0,Publik,Nursing,TRUE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering/Community Service,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Female Musician Scholarship,Anonymous Donor,20000,260000000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,Has contributed to the musical arts band or chorus or orchestra,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Textbooks and Tatami Martial Arts Scholarship,Ben Bullock,1000,13000000,3.0,Publik,Sport Martial Arts,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Betsy V Brown Veterinary Scholarship,Viersen-Brown Family,7500,97500000,0,Publik,Veterinary,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,5,TRUE,FALSE,FALSE,FALSE,TRUE,Fresh graduate
Mo Lottie Simons BELIEVE Scholarship,Wider,500,6500000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,Community Service,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Ward AEC Scholarship,Anonymous Donor,1000,13000000,0,Publik,Architecture/Engineering/Connstruction,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Ginny Biada Memorial Scholarship,The Biada Family,1500,19500000,0,Publik,Any,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Philippe Forton Scholarship,The Forton and Hart Families,2500,32500000,0,Publik,Nursing,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Spencer Otteson Memorial Scholarship,Jerad Otteson,1000,13000000,0,Publik,Education,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Paige's Promise Scholarship,Paige's Promise,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Working to support the problem of substance abuse,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Martha Mitchell Truth Scholarship,Martha Mitchell House and Foundation Inc,2050,26650000,0,Publik,Preserving Civil Liberties,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering,1,TRUE,FALSE,FALSE,TRUE,TRUE,Sarjana-Fresh graduate
